A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_NO_SWAP_PIN!PIN_NO_PIN_ESCAPE!PIN_PIN_ESCAPE!PIN_NO_DRC!PIN_NO_SHAPE_CONNECT!
J!C:/Users/markl/Documents/Sem7/SmartSystems/PinToWin/schematics/sensor_matrix/allegro/sensor_board_place_repl.brd!Tue Sep 21 23:28:00 2021!-148.5000!-105.0000!271.5000!192.0000!0.0001!millimeters!SENSOR_BOARD!10.400000 mil!2!OUT OF DATE!
S!N03058!D1!A!@sensor_board.schematic1(sch_1):ins12658@sensor_board.\led_1.normal\(chips)!LED_1_SMD1206_LED!!!F195!!!!!!
S!N12914!D1!C!@sensor_board.schematic1(sch_1):ins12658@sensor_board.\led_1.normal\(chips)!LED_1_SMD1206_LED!!!F195!!!!!!
S!N12703!D2!A!@sensor_board.schematic1(sch_1):ins12677@sensor_board.\led_1.normal\(chips)!LED_1_SMD1206_LED!!!F194!!!!!!
S!N12910!D2!C!@sensor_board.schematic1(sch_1):ins12677@sensor_board.\led_1.normal\(chips)!LED_1_SMD1206_LED!!!F194!!!!!!
S!!Q1!4!@sensor_board.schematic1(sch_1):ins11806@sensor_board.\irf9530n/to_0.normal\(chips)!IRF9530N/TO_0_TO220ABH_IRF9530N/TO!!!F102!!!!!!
S!N04826!Q1!2!@sensor_board.schematic1(sch_1):ins11806@sensor_board.\irf9530n/to_0.normal\(chips)!IRF9530N/TO_0_TO220ABH_IRF9530N/TO!!!F102!!!!!!
S!N11924!Q1!1!@sensor_board.schematic1(sch_1):ins11806@sensor_board.\irf9530n/to_0.normal\(chips)!IRF9530N/TO_0_TO220ABH_IRF9530N/TO!!!F102!!!!!!
S!VCC!Q1!3!@sensor_board.schematic1(sch_1):ins11806@sensor_board.\irf9530n/to_0.normal\(chips)!IRF9530N/TO_0_TO220ABH_IRF9530N/TO!!!F102!!!!!!
S!N00105_M_COL1_R-D!D13!1!@sensor_board.schematic1(sch_1):m@sensor_board.matrix(sch_1):col1@sensor_board.\column of ldr sensor matrix\(sch_1):\r-d\@sensor_board.\ldr-d-unit\(sch_1):ins89@ediode.\1n4148.normal\(chips)!1N4148_SOD80_D1N4148!!!F190!!!!!!
S!ADC0!D13!2!@sensor_board.schematic1(sch_1):m@sensor_board.matrix(sch_1):col1@sensor_board.\column of ldr sensor matrix\(sch_1):\r-d\@sensor_board.\ldr-d-unit\(sch_1):ins89@ediode.\1n4148.normal\(chips)!1N4148_SOD80_D1N4148!!!F190!!!!!!
S!N00105_M_COL1_R-D4!D57!1!@sensor_board.schematic1(sch_1):m@sensor_board.matrix(sch_1):col1@sensor_board.\column of ldr sensor matrix\(sch_1):\r-d4\@sensor_board.\ldr-d-unit\(sch_1):ins89@ediode.\1n4148.normal\(chips)!1N4148_SOD80_D1N4148!!!F143!!!!!!
S!ADC4!D57!2!@sensor_board.schematic1(sch_1):m@sensor_board.matrix(sch_1):col1@sensor_board.\column of ldr sensor matrix\(sch_1):\r-d4\@sensor_board.\ldr-d-unit\(sch_1):ins89@ediode.\1n4148.normal\(chips)!1N4148_SOD80_D1N4148!!!F143!!!!!!
S!N00105_M_COL1_R-D5!D68!1!@sensor_board.schematic1(sch_1):m@sensor_board.matrix(sch_1):col1@sensor_board.\column of ldr sensor matrix\(sch_1):\r-d5\@sensor_board.\ldr-d-unit\(sch_1):ins89@ediode.\1n4148.normal\(chips)!1N4148_SOD80_D1N4148!!!F131!!!!!!
S!R5!D68!2!@sensor_board.schematic1(sch_1):m@sensor_board.matrix(sch_1):col1@sensor_board.\column of ldr sensor matrix\(sch_1):\r-d5\@sensor_board.\ldr-d-unit\(sch_1):ins89@ediode.\1n4148.normal\(chips)!1N4148_SOD80_D1N4148!!!F131!!!!!!
S!N00105_M_COL1_R-D7!D90!1!@sensor_board.schematic1(sch_1):m@sensor_board.matrix(sch_1):col1@sensor_board.\column of ldr sensor matrix\(sch_1):\r-d7\@sensor_board.\ldr-d-unit\(sch_1):ins89@ediode.\1n4148.normal\(chips)!1N4148_SOD80_D1N4148!!!F106!!!!!!
S!R7!D90!2!@sensor_board.schematic1(sch_1):m@sensor_board.matrix(sch_1):col1@sensor_board.\column of ldr sensor matrix\(sch_1):\r-d7\@sensor_board.\ldr-d-unit\(sch_1):ins89@ediode.\1n4148.normal\(chips)!1N4148_SOD80_D1N4148!!!F106!!!!!!
S!N00105_M_COL18_R-D!D10!1!@sensor_board.schematic1(sch_1):m@sensor_board.matrix(sch_1):col18@sensor_board.\column of ldr sensor matrix\(sch_1):\r-d\@sensor_board.\ldr-d-unit\(sch_1):ins89@ediode.\1n4148.normal\(chips)!1N4148_SOD80_D1N4148!!!F193!!!!!!
S!ADC0!D10!2!@sensor_board.schematic1(sch_1):m@sensor_board.matrix(sch_1):col18@sensor_board.\column of ldr sensor matrix\(sch_1):\r-d\@sensor_board.\ldr-d-unit\(sch_1):ins89@ediode.\1n4148.normal\(chips)!1N4148_SOD80_D1N4148!!!F193!!!!!!
